ENERGY STAR Unique ID,Brand Name,Product Type,Heat Source Fuel Type,Input Rate (kW),Total Convection Pre-Heat Energy,Convection Mode Pre-Heat Time (min),Total Steam Pre-Heat Energy (kW),Steam Mode Pre-Heat Time (min),Total Convection Idle Energy Rate (kW),Full-Size Sheet Pan Capacity,Total Steam Idle Energy Rate (kW),Convection Mode Cooking Energy Efficiency (%),Steam Mode Cooking Energy Efficiency (%),Total energy convection,Total energy steam
2406821,Blodgett,Convection,Electric,15,1,6.75,0,5.08,0,5,0,76,50,1973.684211,1500
2406610,Blodgett,Convection,Gas,18,2.4117,7.4,0,5.08,1.9305,5,0,49,50,3061.22449,1500
2409654,Blodgett,Convection,Electric,11,1,8.33,0,5.08,1.21,5,0,78,50,1923.076923,1500
2494946,Blodgett,Convection,Electric,11,1,9.17,0,5.08,1.17,5,0,78,50,1923.076923,1500
2407749,Blodgett,Convection,Gas,15,2.6577,12.48,0,5.08,2.9526,5,0,54,50,2777.777778,1500
2409305,Convotherm,Combination,Electric,22.1,2,3.7,2,5.08,1.74,22,2.52,81,65,8148.148148,5076.923077
2409306,Convotherm,Combination,Electric,22.1,2,3.7,2,5.08,1.74,22,2.52,81,65,8148.148148,5076.923077
2409303,Convotherm,Combination,Electric,27.4,1,3.64,1,1.92,1.68,22,1.56,83,76,7951.807229,4342.105263
2453106,Convotherm,Combination,Electric,15.9,1,5.64,2,8.26,1.42,14,1.85,80,61,5250,3442.622951
2453107,Convotherm,Combination,Electric,15.9,1,5.64,2,8.26,1.42,14,1.85,80,61,5250,3442.622951
2409295,Convotherm,Combination,Electric,15.9,1,4.42,1,2.17,1.36,14,1.41,81,70,5185.185185,3000
2409294,Convotherm,Combination,Electric,15.9,1,4.42,1,2.17,1.36,14,1.41,81,70,5185.185185,3000
2409301,Convotherm,Combination,Gas,20,1.5561,4.69,2.706,12.67,1.6314,14,2.2317,62,51,6774.193548,4117.647059
2409300,Convotherm,Combination,Gas,20,1.5561,4.69,2.706,12.67,1.6314,14,2.2317,62,51,6774.193548,4117.647059
2409328,Convotherm,Combination,Gas,20,1.4931,4.64,0.6951,2.33,1.5303,14,1.5009,62,58,6774.193548,3620.689655
2409291,Convotherm,Combination,Gas,20,1.4931,4.64,0.6951,2.33,1.5303,14,1.5009,62,58,6774.193548,3620.689655
2409307,Convotherm,Combination,Electric,22.1,2,3.7,2,5.08,1.74,22,2.52,81,65,8148.148148,5076.923077
2409308,Convotherm,Combination,Electric,22.1,2,3.7,2,5.08,1.74,22,2.52,81,65,8148.148148,5076.923077
2409304,Convotherm,Combination,Electric,27.4,1,3.64,1,1.92,1.68,22,1.56,83,76,7951.807229,4342.105263
2409299,Convotherm,Combination,Electric,15.9,1,5.64,2,8.26,1.42,14,1.85,80,61,5250,3442.622951
2409298,Convotherm,Combination,Electric,15.9,1,5.64,2,8.26,1.42,14,1.85,80,61,5250,3442.622951
2409296,Convotherm,Combination,Electric,15.9,1,4.42,1,2.17,1.36,14,1.41,81,70,5185.185185,3000
2409297,Convotherm,Combination,Electric,15.9,1,4.42,1,2.17,1.36,14,1.41,81,70,5185.185185,3000
2409309,Convotherm,Combination,Gas,20,1.5561,4.69,2.706,12.67,1.6314,14,2.2317,62,51,6774.193548,4117.647059
2409302,Convotherm,Combination,Gas,20,1.5561,4.69,2.706,12.67,1.6314,14,2.2317,62,51,6774.193548,4117.647059
