ENERGY STAR Unique ID,Brand Name,Model Name,Product Type,Oven Classification,Heat Source Fuel Type,Input Rate (kW),Convection Mode Idle Energy Rate (kW),Full-Size Sheet Pan Capacity,Steam Mode Idle Energy Rate (kW),Convection Mode Cooking Energy Efficiency (%),Steam Mode Cooking Energy Efficiency (%),Steam Mode Cooking Period Water Consumption (gal/pan)
2406821,Blodgett,HV-100E,Convection,Type II - Floor and roll-in units,Electric,15,1.31,5,NULL,76,NULL,NULL
2406610,Blodgett,HV-100G,Convection,Type II - Floor and roll-in units,Gas,NULL,0.43,5,NULL,49,NULL,NULL
2409654,Blodgett,Zephaire 100 E,Convection,Type II - Floor and roll-in units,Electric,11,1.21,5,NULL,78,NULL,NULL
2494946,Blodgett,Zephaire 200 E,Convection,Type II - Floor and roll-in units,Electric,11,1.17,5,NULL,78,NULL,NULL
2407749,Blodgett,Zephaire-200-G-ES,Convection,Type I - Table countertop and stand mounted units,Gas,NULL,0.17,5,NULL,54,NULL,NULL
2409305,Convotherm,C4eD 10.20 EB,Combination,Type II - Floor and roll-in units,Electric,22.1,1.74,22,2.52,81,65,0.25
2409306,Convotherm,C4eD 10.20 EB-N,Combination,Type II - Floor and roll-in units,Electric,22.1,1.74,22,2.52,81,65,0.25
2409303,Convotherm,C4eD 10.20 ES-N,Combination,Type II - Floor and roll-in units,Electric,27.4,1.68,22,1.56,83,76,0.07
2453106,Convotherm,C4eD 6.20 EB,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.42,14,1.85,80,61,0.3
2453107,Convotherm,C4eD 6.20 EB-N,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.42,14,1.85,80,61,0.3
2409295,Convotherm,C4eD 6.20 ES,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.36,14,1.41,81,70,0.09
2409294,Convotherm,C4eD 6.20 ES-N,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.36,14,1.41,81,70,0.09
2409301,Convotherm,C4eD 6.20 GB,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.40,14,0.38,62,51,0.21
2409300,Convotherm,C4eD 6.20 GB-N,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.40,14,0.38,62,51,0.21
2409328,Convotherm,C4eD 6.20 GS,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.42,14,0.39,62,58,0.1
2409291,Convotherm,C4eD 6.20 GS-N,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.42,14,0.39,62,58,0.1
2409307,Convotherm,C4eT 10.20 EB,Combination,Type II - Floor and roll-in units,Electric,22.1,1.74,22,2.52,81,65,0.25
2409308,Convotherm,C4eT 10.20 EB-N,Combination,Type II - Floor and roll-in units,Electric,22.1,1.74,22,2.52,81,65,0.25
2409304,Convotherm,C4eT 10.20 ES-N,Combination,Type II - Floor and roll-in units,Electric,27.4,1.68,22,1.56,83,76,0.07
2409299,Convotherm,C4eT 6.20 EB,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.42,14,1.85,80,61,0.3
2409298,Convotherm,C4eT 6.20 EB-N,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.42,14,1.85,80,61,0.3
2409296,Convotherm,C4eT 6.20 ES,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.36,14,1.41,81,70,0.09
2409297,Convotherm,C4eT 6.20 ES-N,Combination,Type I - Table countertop and stand mounted units,Electric,15.9,1.36,14,1.41,81,70,0.09
2409309,Convotherm,C4eT 6.20 GB,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.40,14,0.38,62,51,0.21
2409302,Convotherm,C4eT 6.20 GB-N,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.40,14,0.38,62,51,0.21
2409293,Convotherm,C4eT 6.20 GS,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.42,14,0.39,62,58,0.1
2409292,Convotherm,C4eT 6.20 GS-N,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.42,14,0.39,62,58,0.1
2402104,Convotherm,OES6.10 Mini,Combination,Type I - Table countertop and stand mounted units,Electric,5.6,0.61,4,0.89,81,69,0.05
2408390,Electrolux Professional,COE11T30,Combination,Type I - Table countertop and stand mounted units,Electric,19,0.97,NULL,0.95,78,58,0.15
2408470,Electrolux Professional,COE12T30,Combination,Type I - Table countertop and stand mounted units,Electric,37.4,1.32,20,1.94,85,63,0.15
2408392,Electrolux Professional,COE62T30,Combination,Type I - Table countertop and stand mounted units,Electric,21.4,1.12,12,1.42,86,61,0.15
2408393,Electrolux Professional,COG11T30,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.16,NULL,0.09,63,45,0.15
2408418,Electrolux Professional,COG12T30,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.18,20,0.11,58,47,0.14
2408391,Electrolux Professional,COG61T30,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.13,NULL,0.10,58,43,0.14
2452893,Electrolux Professional,COG62T30,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.17,12,0.12,60,43,0.14
2765505,Vulcan,TCM-102E,Combination,Type I - Table countertop and stand mounted units,Electric,32,1.56,20,1.89,83,66,0.2
2631792,Imperial,PCV-1,Convection,Type II - Floor and roll-in units,Gas,NULL,0.62,5,NULL,49,NULL,NULL
2631793,Imperial,PCV-2,Convection,Type II - Floor and roll-in units,Gas,NULL,0.62,5,NULL,49,NULL,NULL
2631772,Imperial,PCVG-1,Convection,Type II - Floor and roll-in units,Gas,NULL,0.62,5,NULL,49,NULL,NULL
2631791,Imperial,PCVG-2,Convection,Type II - Floor and roll-in units,Gas,NULL,0.62,5,NULL,49,NULL,NULL
2406441,LBC Bakery,LRO-1G6,Rack,Type II - Floor and roll-in units,Gas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2406442,LBC Bakery,LRO-2G6,Rack,Type II - Floor and roll-in units,Gas,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2470756,Henny Penny,FPE115,Combination,Type I - Table countertop and stand mounted units,Electric,15.7,1.06,NULL,1.64,80,56,0.24
2470751,Henny Penny,FPE121,Combination,Type I - Table countertop and stand mounted units,Electric,27.3,1.11,10,2.13,90,68,0.19
2470754,Henny Penny,FPE215,Combination,Type II - Floor and roll-in units,Electric,31.6,1.5,NULL,3.14,90,60,0.22
2470758,Henny Penny,FSE610,Combination,Type I - Table countertop and stand mounted units,Electric,7.4,0.63,NULL,1.09,80,62,0.26
2636219,Henny Penny,FSEN610,Combination,Type I - Table countertop and stand mounted units,Electric,7.4,0.63,NULL,1.09,80,62,0.26
2470750,Henny Penny,FPE621,Combination,Type I - Table countertop and stand mounted units,Electric,17.4,0.92,6,2.02,90,59,0.25
2470755,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD115T,Combination,Type I - Table countertop and stand mounted units,Electric,15.7,1.06,NULL,1.64,80,56,0.24
2470752,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD121T,Combination,Type I - Table countertop and stand mounted units,Electric,27.3,1.11,10,2.13,90,68,0.19
2470753,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD215T,Combination,Type II - Floor and roll-in units,Electric,31.6,1.5,NULL,3.14,90,60,0.22
2470757,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,SKECOD610T,Combination,Type I - Table countertop and stand mounted units,Electric,7.4,0.63,NULL,1.09,80,62,0.26
2470749,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD621T,Combination,Type I - Table countertop and stand mounted units,Electric,17.4,0.92,6,2.02,90,59,0.25
2406731,Moffat Limited,E32D4,Convection,Type I - Table countertop and stand mounted units,Electric,5.8,0.95,4,NULL,78,NULL,NULL
2406730,Moffat Limited,E32D5,Convection,Type I - Table countertop and stand mounted units,Electric,5.8,0.95,5,NULL,81,NULL,NULL
2406729,Moffat Limited,E33T5,Convection,Type I - Table countertop and stand mounted units,Electric,6,0.76,NULL,NULL,79,NULL,NULL
3360649,IKON,IGCO,Convection,Type II - Floor and roll-in units,Gas,NULL,NULL,5,NULL,50,NULL,NULL
2407118,Rational AG,iCombiPro 6-2/3 elec.,Combination,Type I - Table countertop and stand mounted units,Electric,5.7,0.46,NULL,0.41,76,57,0.11
2407120,Rational AG,iCombiPro 6-half elec.,Combination,Type I - Table countertop and stand mounted units,Electric,10.8,0.71,NULL,0.82,80,59,0.24
2407114,Rational AG,iCombiPro 6-half gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.06,NULL,0.09,62,50,0.15
2407117,Rational AG,iCombiPro 6-full elec.,Combination,Type I - Table countertop and stand mounted units,Electric,22.4,0.98,6,0.84,82,57,0.39
2407111,Rational AG,iCombiPro 6-full gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.17,6,0.13,66,55,0.19
2407122,Rational AG,iCombiPro 10-half elec.,Combination,Type I - Table countertop and stand mounted units,Electric,18.9,0.84,NULL,0.77,80,63,0.33
2407115,Rational AG,iCombiPro 10-half gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.16,NULL,0.12,64,55,0.17
2407119,Rational AG,iCombiPro 10-full elec.,Combination,Type I - Table countertop and stand mounted units,Electric,37.4,1.22,10,1.19,82,64,0.16
2407116,Rational AG,iCombiPro 10-full gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.23,10,0.14,64,57,0.13
2407121,Rational AG,iCombiPro 20-half elec.,Combination,Type II - Floor and roll-in units,Electric,37,1.59,NULL,1.63,80,64,0.27
2407112,Rational AG,iCombiPro 20-half gas,Combination,Type II - Floor and roll-in units,Gas,NULL,0.94,NULL,0.23,65,52,0.24
2407123,Rational AG,iCombiPro 20-full elec.,Combination,Type II - Floor and roll-in units,Electric,67.9,2.25,20,1.84,82,61,0.22
2407113,Rational AG,iCombiPro 20-full gas,Combination,Type II - Floor and roll-in units,Gas,NULL,0.48,20,0.24,62,58,0.25
2407128,Rational AG,iCombiClassic 6-half elec.,Combination,Type I - Table countertop and stand mounted units,Electric,10.8,0.75,NULL,0.81,78,60,0.23
2407127,Rational AG,iCombiClassic 6-half gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.33,NULL,0.40,60,52,0.2
2407126,Rational AG,iCombiClassic 6-full elec.,Combination,Type I - Table countertop and stand mounted units,Electric,22.4,1.13,6,0.98,78,59,0.24
2407124,Rational AG,iCombiClassic 6-full gas,Combination,Type I - Table countertop and stand mounted units,Gas,NULL,0.44,6,0.63,63,48,0.25
2407125,Rational AG,iCombiClassic 10-half elec.,Combination,Type I - Table countertop and stand mounted units,Electric,18.9,1.04,NULL,1.01,78,62,0.21
2452996,Retigo s.r.o.,B 1011 i,Combination,Type I - Table countertop and stand mounted units,Electric,18.6,1.01,NULL,1.13,81,68,NULL
2814190,Retigo s.r.o.,B 621 i,Combination,Type I - Table countertop and stand mounted units,Electric,15.3,1.1,6,1.25,80,68,0.33
